Record,Cycle,Step,Time(s),Total Time(s),Voltage(V),Current(A),Charge Capacity(mAh),Discharge Capacity(mAh),DateTime
1,1,1,0,0,3.050,4.5000,0.0,0.0,2026-03-02 09:00:00
2,1,1,10,10,3.148,4.5000,12.5,0.0,2026-03-02 09:00:10
3,1,1,20,20,3.246,4.5000,25.0,0.0,2026-03-02 09:00:20
4,1,1,30,30,3.344,4.5000,37.5,0.0,2026-03-02 09:00:30
5,1,1,40,40,3.442,4.5000,50.0,0.0,2026-03-02 09:00:40
6,1,1,50,50,3.540,4.5000,62.5,0.0,2026-03-02 09:00:50
7,1,1,60,60,3.638,4.5000,75.0,0.0,2026-03-02 09:01:00
8,1,1,70,70,3.736,4.5000,87.5,0.0,2026-03-02 09:01:10
9,1,1,80,80,3.834,4.5000,100.0,0.0,2026-03-02 09:01:20
10,1,1,90,90,3.932,4.5000,112.5,0.0,2026-03-02 09:01:30
11,1,1,100,100,4.030,4.5000,125.0,0.0,2026-03-02 09:01:40
12,1,1,110,110,4.128,4.5000,137.5,0.0,2026-03-02 09:01:50
13,1,2,0,120,4.150,-4.5000,137.5,0.0,2026-03-02 09:02:00
14,1,2,10,130,4.015,-4.5000,137.5,12.5,2026-03-02 09:02:10
15,1,2,20,140,3.880,-4.5000,137.5,25.0,2026-03-02 09:02:20
16,1,2,30,150,3.745,-4.5000,137.5,37.5,2026-03-02 09:02:30
17,1,2,40,160,3.610,-4.5000,137.5,50.0,2026-03-02 09:02:40
18,1,2,50,170,3.475,-4.5000,137.5,62.5,2026-03-02 09:02:50
19,1,2,60,180,3.340,-4.5000,137.5,75.0,2026-03-02 09:03:00
20,1,2,70,190,3.205,-4.5000,137.5,87.5,2026-03-02 09:03:10
21,1,2,80,200,3.070,-4.5000,137.5,100.0,2026-03-02 09:03:20
22,1,2,90,210,2.935,-4.5000,137.5,112.5,2026-03-02 09:03:30
23,1,2,100,220,2.800,-4.5000,137.5,125.0,2026-03-02 09:03:40
24,1,2,110,230,2.665,-4.5000,137.5,137.5,2026-03-02 09:03:50
